Group	Date	ET	Station	SP	Sex	Age	Repro	Weight	Ear
7_14m35	7_14	35	J1	PMG	F	A	NE	23	17
7_14m38	7_14	38	CC2	PMG	F	A	NE	21	19
7_14m51	7_14	51	B16	PMG	F	SA	NT	13.5	17
7_14m54	7_14	54	P1	PL	F	J	NE	13.5	15
7_14m55	7_14	55	L15	PL	F	SA	NT	13.5	14
7_14m56	7_14	56	N20	PL	M	A	SCR	18	15
7_14m57m	7_14	57	L19	PL	F	SA	NE	15	15
7_14m59	7_14	59	CC3	PMG	M	SA	SCR	16	17
7_14m61	7_14	61	CC5	PL	M	A	SCR	19	14
7_14m64	7_14	64	B4	PMG	M	J	SCR	13	16
7_14m69m	7_14	69	H20	PL	M	SA	ABD	14	12
7_14m71	7_14	71	D20	PL	F	J	NT	12	14
7_14m74	7_14	74	N17	PMG	F	J	NT	7	14
7_14m77	7_14	77	F17	PMG	M	J	ABD	9.5	15
7_14m79	7_14	79	J20	PMG	F	J	NT	9	12
7_14m80	7_14	80	N1	PL	M	J	SCR	13	15
7_2m21	7_2	21	B8	PMG	F	A	NT	19	18
7_2m25	7_2	25	P17	PMG	F	A	NE	16	15
7_2m27	7_2	27	P11	PL	M	SA	ABD	15	16
7_2m38	7_2	38	AA20	PMG	F	A	NE	17	16
7_2m46	7_2	46	P2	PMG	F	SA	NT	15	15
7_2m51	7_2	51	B18	PMG	F	J	N	12	16
7_2m52	7_2	52	L16	PMG	M	A	SCR	18	17
7_2m53	7_2	53	J17	PL	M	SA	SCR	17	14
7_2m54	7_2	54	H4	PL	F	J	NT	9	12
7_2m55	7_2	55	P13	PL	F	J	NT	10	13
7_2m56	7_2	56	N4	PL	M	A	SCR	16	16
7_2m57	7_2	57	N20	PL	F	J	NT	12	15
7_3m2	7_3	2	A3	PL	M	A	SCR	19	17
7_3m20	7_3	20	M17	PL	M	A	SCR	17	18
7_3m34	7_3	34	P6	PMG	M	SA	SCR	15	17
7_3m37	7_3	37	CC6	PL	F	SA	N	13	14
7_3m38	7_3	38	CC3	PMG	F	SA	NT	17	19
7_3m43	7_3	43	CC13	PMG	F	SA	NT	16	16
7_3m44	7_3	44	N16	PL	M	SA	SCR	16	16
7_3m51	7_3	51	B18	PMG	F	J	NT	11	15
7_3m57	7_3	57	L19	PL	F	J	NT	13	15
7_3m60	7_3	60	P11	PL	M	J	A	9	14
									
									
									
									
									
									
									
									
									
									
									
									
									
									
